days,weekly_default_average_rmse,weekly_optuna_average_rmse
08/23,0.17453088607660122,0.17562282196977635
08/24,0.15970536107468528,0.1325609599562133
08/25,0.17176585402436848,0.15093104412231478
08/26,0.1774696988204532,0.16213492927818152
08/27,0.20173056994376395,0.2001782180418472
08/28,0.19324786382543468,0.16493615961420688
08/29,0.23785616627420178,0.20786075871640386
08/30,0.31680129427204334,0.3109386010294898
08/31,0.39118239325114185,0.4048015816419542
09/01,0.39293138622929763,0.3327239855649474
09/02,0.4492970938059485,0.3339550055472702
09/03,0.4586351802277597,0.4427750144371232
09/04,0.4871987699998573,0.44120858779947303
09/05,0.47080538471051286,0.47973746796938005
09/06,0.47030187197360324,0.4712947858708563
09/07,0.48196129140386157,0.46771147632155846
09/08,0.5118729020699836,0.4409780022011782
09/09,0.5324614160095335,0.5080448238505589
09/10,0.550282122163344,0.4664667306492926
09/11,0.567440088584212,0.5522069656047555
09/12,0.5465274683955297,0.4546880738730401
09/13,0.5508271631115377,0.4659719258800834
09/14,0.5282593347340644,0.5287625917544945
09/15,0.5078771749547953,0.4655664011259136
09/16,0.48374331173408625,0.43501880863422465
09/17,0.44293568352582874,0.3780293392041905
